Mo,V
0.0,0.0
0.0,0.0
0.0,0.0
4100.5,7601.7002
4900.7202,2068575.1
6101.1201,2240837.0
7301.6001,1935591.6
5500.9102,2421214.0
7301.6001,2250034.2
5300.8398,2570820.5
7201.5601,1688181.8
5500.9102,1796224.0
4400.5801,2050667.2
4100.5,1789785.9
5500.9102,2361918.0
3800.4299,2122014.8
4900.7202,2208199.8
5801.0098,1811156.2
5801.0098,1844131.6
6101.1201,2165256.0
5801.0098,2105730.0
6501.27,2250264.2
7401.6499,2143696.2
7001.4702,2267414.8
5000.75,2095585.8
6201.1602,2003814.6
5801.0098,2104580.2
4900.7202,2045121.8
6701.3501,2115725.2
4500.6099,1840087.5
4000.48,1948792.6
4600.6401,1797143.8
3500.3701,1516461.0
6701.3501,1329956.8
3100.29,1803270.9
3800.4299,1794465.8
4400.5801,2105080.8
4700.6602,1856656.4
4500.6099,1891565.9
5000.75,2080667.0
6001.0801,1942489.6
2500.1899,1571469.5
2200.1499,1583047.4
3600.3899,1750318.2
4600.6401,1522452.8
3000.27,1475208.0
3800.4299,1593435.0
4000.48,1903049.1
4300.5601,1877742.8
3300.3301,2549355.5
3200.3101,1836706.1
6001.0801,2000379.1
3900.46,2057240.8
3800.4299,1888820.1
5300.8398,2143926.2
5400.8799,1959315.5
4800.6899,1793830.0
4200.5298,1840588.0
4300.5601,2261436.2
4200.5298,2399343.2
4400.5801,2120040.0
3400.3501,1977331.6
4600.6401,2401169.2
4500.6099,1899045.5
7601.7402,2016718.0
5901.0498,2481659.8
5801.0098,2688844.8
5801.0098,2289299.0
6101.1201,2498810.2
4300.5601,2372995.2
3600.3899,2191887.8
4200.5298,1559729.2
2700.22,2268199.2
4800.6899,1639408.5
5801.0098,2059688.9
3600.3899,1913369.1
5000.75,2181297.2
4500.6099,2257825.0
4100.5,2251102.8
3400.3501,2110166.2
2600.2,2135959.5
3100.29,1911597.2
4600.6401,1888847.2
4000.48,2164782.5
4400.5801,1963278.5
2800.24,1937011.9
4500.6099,1845457.1
5000.75,1938918.9
6501.27,2137636.8
4000.48,1829889.2
4500.6099,1773284.6
4400.5801,1622677.4
4800.6899,1747721.4
5200.8101,1956096.4
4900.7202,2120959.8
3500.3701,1579354.9
3000.27,1964577.0
2200.1499,2099602.8
3500.3701,1801850.8
2600.2,1680850.9
3300.3301,2114995.0
4700.6602,2455704.2
3100.29,2211067.0
2000.12,2825764.2
